Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GPT-3.5-Turbo,5.7%,14.6%,29.1%,40.5%,27.8%,38.8%,20.9%,31.3%,11.8%,10.0%,30.1%,8.3%,20.9%,16.1%,2.6%,10.4%,-3.9%,10.8%,-0.6%,5.8%,20.5%,43.3%,-7.4%,-4.5%,6.5%,10.4%,12.9%,19.1%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Llama2-70b,-12.7%,-3.6%,1.3%,0.0%,19.2%,25.6%,2.6%,7.3%,11.0%,0.0%,13.6%,2.8%,12.3%,5.4%,8.6%,8.1%,13.4%,8.7%,11.0%,10.1%,3.2%,0.0%,-3.1%,0.0%,0.0%,-1.0%,6.0%,4.6%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Codellama-34b,-0.3%,1.4%,4.6%,0.0%,17.2%,17.4%,7.2%,6.3%,0.0%,0.0%,25.1%,5.6%,12.6%,10.2%,3.9%,8.4%,3.7%,13.3%,3.8%,8.5%,25.4%,19.2%,-0.3%,-4.5%,12.6%,4.8%,8.8%,6.8%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Lemur-70b,-3.0%,-0.9%,22.0%,14.7%,14.0%,12.8%,12.0%,9.2%,0.0%,0.0%,16.1%,5.6%,8.0%,7.2%,3.6%,1.9%,2.4%,0.0%,3.0%,1.4%,10.3%,20.3%,1.3%,3.0%,5.8%,8.2%,7.7%,6.5%
