[EXP] 0: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.6666666666666666)] 
[EXP] 61: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 62: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 63: [sr]: 0, [score]: 0.49999999999999994, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.41666666666666663), (5, 0.49999999999999994)] 
[EXP] 64: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 65: [sr]: 0, [score]: 0.49999999999999994, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.41666666666666663), (3, 0.49999999999999994)] 
[EXP] 66: [sr]: 0, [score]: 0.1, [grounding_acc]: 1.0, [score_state]: [(1, 0.03333333333333333), (2, 0.06666666666666667), (3, 0.1)] 
[EXP] 67: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 68: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 69: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (4, 0.75)] 
[EXP] 70: [sr]: 0, [score]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 71: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (8, 0.8888888888888888)] 
[EXP] 72: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 73: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 74: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 75: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 76: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 77: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 78: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.1111111111111111), (4, 0.3333333333333333)] 
[EXP] 79: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 80: [sr]: 0, [score]: 0.03333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.03333333333333333)] 
[EXP] 81: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 82: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 83: [sr]: 0, [score]: 0.5555555555555556, [grounding_acc]: 0.13333333333333333, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556)] 
[EXP] 84: [sr]: 0, [score]: 0.8, [grounding_acc]: 1.0, [score_state]: [(1, 0.26666666666666666), (2, 0.5333333333333333), (4, 0.8)] 
[EXP] 85: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 86: [sr]: 0, [score]: 0.06666666666666667, [grounding_acc]: 1.0, [score_state]: [(1, 0.022222222222222223), (2, 0.044444444444444446), (5, 0.06666666666666667)] 
[EXP] 87: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 88: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (3, 0.4444444444444444)] 
[EXP] 89: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 90: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (5, 0.25)] 
[EXP] 91: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 92: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 93: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (4, 0.4444444444444444)] 
[EXP] 94: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 95: [sr]: 0, [score]: 0.39999999999999997, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.36666666666666664), (3, 0.39999999999999997)] 
[EXP] 96: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (5, 0.5833333333333333)] 
[EXP] 97: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 98: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 99: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (5, 0.75)] 
[EXP] 100: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 101: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 102: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 103: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 104: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (6, 1.0)] 
[EXP] 105: [sr]: 0, [score]: 0.19999999999999998, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.16666666666666666), (2, 0.18333333333333332), (8, 0.19999999999999998)] 
[EXP] 106: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 107: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 108: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 0.9, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (9, 0.8333333333333333)] 
[EXP] 109: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 110: [sr]: 0, [score]: 0.4444444444444444, [grounding_acc]: 0.75, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (7, 0.4444444444444444)] 
[EXP] 111: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 112: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (4, 0.6666666666666666)] 
[EXP] 113: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 114: [sr]: 0, [score]: 0.4666666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (2, 0.39999999999999997), (5, 0.4666666666666666)] 
[EXP] 115: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 116: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.1111111111111111), (2, 0.2222222222222222), (4, 0.3333333333333333)] 
[EXP] 117: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 118: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 119: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 120: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 121: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.25), (2, 0.3333333333333333)] 
[EXP] 122: [sr]: 0, [score]: 0.6944444444444444, [grounding_acc]: 1.0, [score_state]: [(0, 0.3333333333333333), (2, 0.4722222222222222), (4, 0.6944444444444444)] 
[EXP] 123: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (5, 0.6666666666666666), (7, 1.0)] 
[EXP] 124: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 125: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 126: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 127: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 128: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 129: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 130: [sr]: 0, [score]: 0.5, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (5, 0.5)] 
[EXP] 131: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (5, 0.75)] 
[EXP] 132: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 133: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 134: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 135: [sr]: 0, [score]: 0.75, [grounding_acc]: 0.875, [score_state]: [(1, 0.25), (4, 0.41666666666666663), (7, 0.75)] 
[EXP] 136: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 137: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 138: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 139: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 140: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (5, 0.25)] 
[EXP] 141: [sr]: 0, [score]: 0.125, [grounding_acc]: 1.0, [score_state]: [(1, 0.041666666666666664), (2, 0.08333333333333333), (3, 0.125)] 
[EXP] 142: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (5, 0.5)] 
[EXP] 143: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 144: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 145: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 146: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.25), (3, 0.3333333333333333)] 
[EXP] 147: [sr]: 0, [score]: 0.75, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (6, 0.41666666666666663), (7, 0.5), (8, 0.75)] 
[EXP] 148: [sr]: 0, [score]: 0.4666666666666667, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.19999999999999998), (2, 0.26666666666666666), (5, 0.3333333333333333), (8, 0.4666666666666667)] 
[EXP] 149: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.8888888888888888)] 
[EXP] 150: [sr]: 0, [score]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 151: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 152: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 153: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 154: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.13333333333333333, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 155: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 156: [sr]: 1, [score]: 1.0, [grounding_acc]: 0.9090909090909091, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (10, 1.0)] 
[EXP] 157: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (6, 0.8333333333333333)] 
[EXP] 158: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 159: [sr]: 0, [score]: 0.6, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.19999999999999998), (2, 0.39999999999999997), (6, 0.6)] 
[EXP] 160: [sr]: 0, [score]: 0.5333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.19999999999999998), (2, 0.39999999999999997), (8, 0.5333333333333333)] 
