[EXP] 0: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 17: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 18: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 19: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 20: [success rate]: 0.0, [progress rate]: 0.2, [grounding_acc]: 0.875, [score_state]: [] 
[EXP] 21: [success rate]: 0.0, [progress rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 22: [success rate]: 0.0, [progress rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 23: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.6129032258064516, [score_state]: [] 
[EXP] 24: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 25: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.875, [score_state]: [] 
[EXP] 26: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 27: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 28: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 29: [success rate]: 1.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 30: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [success rate]: 0.0, [progress rate]: 1.0, [grounding_acc]: 0.9354838709677419, [score_state]: [] 
[EXP] 32: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 33: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.5161290322580645, [score_state]: [] 
[EXP] 34: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 35: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.9375, [score_state]: [] 
[EXP] 36: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.9545454545454546, [score_state]: [] 
[EXP] 37: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 38: [success rate]: 0.0, [progress rate]: 0.8333333333333333, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 39: [success rate]: 1.0, [progress rate]: 1.0, [grounding_acc]: 0.4166666666666667, [score_state]: [] 
[EXP] 40: [success rate]: 1.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 41: [success rate]: 1.0, [progress rate]: 1.0, [grounding_acc]: 0.45454545454545453, [score_state]: [] 
[EXP] 42: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 43: [success rate]: 0.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 44: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 45: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 46: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 47: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 48: [success rate]: 0.0, [progress rate]: 0.4, [grounding_acc]: 0.5483870967741935, [score_state]: [] 
[EXP] 49: [success rate]: 0.0, [progress rate]: 0.4, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 50: [success rate]: 0.0, [progress rate]: 0.4, [grounding_acc]: 0.5483870967741935, [score_state]: [] 
[EXP] 51: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 52: [success rate]: 0.0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 53: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 54: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 55: [success rate]: 0.0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 56: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 57: [success rate]: 0.0, [progress rate]: 0.125, [grounding_acc]: 0.46153846153846156, [score_state]: [] 
[EXP] 58: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 59: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 60: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 61: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.7419354838709677, [score_state]: [] 
[EXP] 62: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 63: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.8823529411764706, [score_state]: [] 
[EXP] 64: [success rate]: 0.0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 65: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.9354838709677419, [score_state]: [] 
[EXP] 66: [success rate]: 0.0, [progress rate]: 0.8, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 67: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.125, [score_state]: [] 
[EXP] 68: [success rate]: 0.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 69: [success rate]: 0.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 70: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 71: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 72: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 73: [success rate]: 0.0, [progress rate]: 0.3333333333333333, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 74: [success rate]: 0.0, [progress rate]: 0.2857142857142857, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 75: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 76: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.47619047619047616, [score_state]: [] 
[EXP] 77: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.46153846153846156, [score_state]: [] 
[EXP] 78: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.5862068965517241, [score_state]: [] 
[EXP] 79: [success rate]: 0.0, [progress rate]: 0.5, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 80: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 81: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.9166666666666666, [score_state]: [] 
[EXP] 82: [success rate]: 1.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 83: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 84: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 85: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 86: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 87: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 88: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 89: [success rate]: 0.0, [progress rate]: 0.125, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 90: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 91: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 92: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 93: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 94: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 95: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 96: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 97: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 98: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 99: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 100: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 101: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 102: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 103: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 104: [success rate]: 0.0, [progress rate]: 0.25, [grounding_acc]: 0.125, [score_state]: [] 
