[EXP] 0: [success rate]: 0, [progress rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 70: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 71: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 72: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 73: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 74: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 75: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 76: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 77: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 78: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 79: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 80: [success rate]: 0, [progress rate]: 0.03333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 81: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 82: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 83: [success rate]: 0, [progress rate]: 0.7222222222222222, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 84: [success rate]: 0, [progress rate]: 0.8, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 85: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 86: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 87: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 88: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 89: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 90: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 91: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 92: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 93: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 94: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 95: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 96: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 97: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 98: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 99: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 100: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 101: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 102: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 103: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 104: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 105: [success rate]: 0, [progress rate]: 0.07500000000000001, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 106: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 107: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 108: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 109: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 110: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 111: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 112: [success rate]: 0, [progress rate]: 0.06666666666666667, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 113: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 114: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 115: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 116: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 117: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 118: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 119: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 120: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 121: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 122: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 123: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 124: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 125: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 126: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 127: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 128: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 129: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 130: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 131: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 132: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 133: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 134: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 135: [success rate]: 0, [progress rate]: 0.41666666666666663, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 136: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 137: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 138: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 139: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 140: [success rate]: 0, [progress rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 141: [success rate]: 0, [progress rate]: 0.125, [grounding_acc]: 0.9090909090909091, [score_state]: [] 
[EXP] 142: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 143: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 144: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 145: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 146: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 147: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 148: [success rate]: 0, [progress rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 149: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 150: [success rate]: 0, [progress rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 151: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 152: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 153: [success rate]: 0, [progress rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 154: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 0.7142857142857143, [score_state]: [] 
[EXP] 155: [success rate]: 0, [progress rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 156: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 157: [success rate]: 0, [progress rate]: 0.7499999999999999, [grounding_acc]: 0.75, [score_state]: [] 
[EXP] 158: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 159: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 160: [success rate]: 0, [progress rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 161: [success rate]: 0, [progress rate]: 0.1, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 162: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 163: [success rate]: 0, [progress rate]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 164: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 165: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 166: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 0.17857142857142858, [score_state]: [] 
[EXP] 167: [success rate]: 0, [progress rate]: 0.26666666666666666, [grounding_acc]: 0.4, [score_state]: [] 
[EXP] 168: [success rate]: 0, [progress rate]: 0.8, [grounding_acc]: 0.8125, [score_state]: [] 
[EXP] 169: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 170: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 171: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 172: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 173: [success rate]: 0, [progress rate]: 0.0, [grounding_acc]: 0.6, [score_state]: [] 
[EXP] 174: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 175: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 176: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 177: [success rate]: 0, [progress rate]: 0.05, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 178: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 179: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 180: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 181: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 182: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 183: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 184: [success rate]: 0, [progress rate]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 185: [success rate]: 0, [progress rate]: 0.016666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 186: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 187: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 188: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 189: [success rate]: 0, [progress rate]: 0.4666666666666667, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 190: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 191: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 192: [success rate]: 0, [progress rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 193: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 194: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 195: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 196: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 197: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 198: [success rate]: 0, [progress rate]: 0.03333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 199: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 200: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 201: [success rate]: 0, [progress rate]: 0.5555555555555556, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 202: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 203: [success rate]: 0, [progress rate]: 0.26666666666666666, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 204: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 205: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 206: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 207: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 208: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 209: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 210: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 211: [success rate]: 0, [progress rate]: 0.8, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 212: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 213: [success rate]: 0, [progress rate]: 0.29166666666666663, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 214: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 215: [success rate]: 0, [progress rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 216: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 217: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 218: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 219: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 220: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 221: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 222: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 223: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 224: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 225: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 226: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 227: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 228: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 229: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 230: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 231: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 232: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 233: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 234: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 235: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 236: [success rate]: 0, [progress rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 237: [success rate]: 0, [progress rate]: 0.13333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 238: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 0.7333333333333333, [score_state]: [] 
[EXP] 239: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 240: [success rate]: 0, [progress rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 241: [success rate]: 0, [progress rate]: 0.3777777777777777, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 242: [success rate]: 0, [progress rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 243: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 244: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 245: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 246: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 247: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 248: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 249: [success rate]: 0, [progress rate]: 0.3777777777777777, [grounding_acc]: 1.0, [score_state]: [] 
